"ID","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","department","salary","left"
"201910002",0.8,0.86,5,262,6,0,0,"sales","medium","1"
"201910003",0.11,0.88,7,272,4,0,0,"sales","medium","1"
"201910004",0.72,0.87,5,223,5,0,0,"sales","low","1"
"201910005",0.37,0.52,2,159,3,0,0,"sales","low","1"
"201910006",0.41,0.5,2,153,3,0,0,"sales","low","1"
"201910007",0.1,0.77,6,247,4,0,0,"sales","low","1"
"201910008",0.92,0.85,5,259,5,0,0,"sales","low","1"
"201910009",0.89,1,5,224,5,0,0,"sales","low","1"
"201910010",0.42,0.53,2,142,3,0,0,"sales","low","1"
"201910011",0.45,0.54,2,135,3,0,0,"sales","low","1"
"201910012",0.11,0.81,6,305,4,0,0,"sales","low","1"
"201910013",0.84,0.92,4,234,5,0,0,"sales","low","1"
"201910014",0.41,0.55,2,148,3,0,0,"sales","low","1"
"201910015",0.36,0.56,2,137,3,0,0,"sales","low","1"
"201910016",0.38,0.54,2,143,3,0,0,"sales","low","1"
"201910017",0.45,0.47,2,160,3,0,0,"sales","low","1"
"201910018",0.78,0.99,4,255,6,0,0,"sales","low","1"
"201910019",0.45,0.51,2,160,3,1,1,"sales","low","1"
"201910020",0.76,0.89,5,262,5,0,0,"sales","low","1"
"201910021",0.11,0.83,6,282,4,0,0,"sales","low","1"
"201910022",0.38,0.55,2,147,3,0,0,"sales","low","1"
"201910023",0.09,0.95,6,304,4,0,0,"sales","low","1"
"201910024",0.46,0.57,2,139,3,0,0,"sales","low","1"
"201910025",0.4,0.53,2,158,3,0,0,"sales","low","1"
"201910027",0.82,0.87,4,239,5,0,0,"sales","low","1"
"201910028",0.4,0.49,2,135,3,0,0,"sales","low","1"
"201910031",0.09,0.62,6,294,4,0,0,"accounting","low","1"
"201910032",0.45,0.57,2,134,3,0,0,"hr","low","1"
"201910033",0.4,0.51,2,145,3,0,0,"hr","low","1"
"201910034",0.45,0.55,2,140,3,0,0,"hr","low","1"
"201910035",0.84,0.87,4,246,6,0,0,"hr","low","1"
"201910036",0.1,0.94,6,255,4,0,0,"technical","low","1"
"201910037",0.38,0.46,2,137,3,0,0,"technical","low","1"
"201910038",0.45,0.5,2,126,3,0,0,"technical","low","1"
"201910039",0.11,0.89,6,306,4,0,0,"technical","low","1"
"201910040",0.41,0.54,2,152,3,0,0,"technical","low","1"
"201910041",0.87,0.88,5,269,5,0,0,"technical","low","1"
"201910042",0.45,0.48,2,158,3,0,0,"technical","low","1"
"201910043",0.4,0.46,2,127,3,0,0,"technical","low","1"
"201910044",0.1,0.8,7,281,4,0,0,"technical","low","1"
"201910045",0.09,0.89,6,276,4,0,0,"technical","low","1"
"201910047",0.4,0.55,2,147,3,0,0,"support","low","1"
"201910048",0.57,0.7,3,273,6,0,0,"support","low","1"
"201910049",0.4,0.54,2,148,3,0,0,"support","low","1"
"201910051",0.13,0.78,6,152,2,0,0,"support","low","1"
"201910052",0.44,0.55,2,135,3,0,0,"support","low","1"
"201910053",0.38,0.55,2,134,3,0,0,"support","low","1"
"201910054",0.39,0.54,2,132,3,0,0,"support","low","1"
"201910055",0.1,0.92,7,307,4,0,0,"support","low","1"
"201910057",0.11,0.94,7,255,4,0,0,"support","low","1"
"201910059",0.38,0.54,2,128,3,0,0,"technical","low","1"
"201910060",0.85,1,4,225,5,0,0,"technical","low","1"
"201910061",0.85,0.91,5,226,5,0,0,"management","medium","1"
"201910062",0.11,0.93,7,308,4,0,0,"IT","medium","1"
"201910063",0.1,0.95,6,244,5,0,0,"IT","medium","1"
"201910064",0.36,0.56,2,132,3,0,0,"IT","medium","1"
"201910065",0.11,0.94,6,286,4,0,0,"IT","medium","1"
"201910067",0.43,0.54,2,153,3,0,0,"product_mng","medium","1"
"201910069",0.76,0.86,5,223,5,1,0,"product_mng","medium","1"
"201910070",0.43,0.5,2,135,3,0,0,"product_mng","medium","1"
"201910071",0.74,0.99,2,277,3,0,0,"IT","medium","1"
"201910072",0.09,0.77,5,275,4,0,0,"product_mng","medium","1"
"201910073",0.45,0.49,2,149,3,0,0,"product_mng","high","1"
"201910075",0.11,0.97,6,277,4,0,0,"product_mng","medium","1"
"201910076",0.11,0.79,7,306,4,0,0,"product_mng","medium","1"
"201910077",0.1,0.83,6,295,4,0,0,"product_mng","medium","1"
"201910078",0.4,0.54,2,137,3,0,0,"marketing","medium","1"
"201910079",0.43,0.56,2,157,3,0,0,"sales","low","1"
"201910080",0.39,0.56,2,142,3,0,0,"accounting","low","1"
"201910082",0.38,0.49,2,151,3,0,0,"technical","low","1"
"201910084",0.84,0.85,4,249,6,0,0,"marketing","low","1"
"201910085",0.11,0.77,6,291,4,0,0,"marketing","low","1"
"201910086",0.11,0.87,6,305,4,0,0,"marketing","low","1"
