ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department,salary,left
201910001,0.38,0.53,2,157,3,0,0,sales,low,1
201910026,0.89,0.92,5,242,5,0,0,sales,low,1
201910029,0.41,0.46,2,128,3,0,0,accounting,low,1
201910030,0.38,0.5,2,132,3,0,0,accounting,low,1
201910046,0.84,0.74,3,182,4,0,0,technical,low,1
201910050,0.43,0.47,2,147,3,0,0,support,low,1
201910056,0.37,0.46,2,140,3,0,0,support,low,1
201910058,0.1,0.81,6,309,4,0,0,technical,low,1
201910066,0.81,0.7,6,161,4,0,0,IT,medium,1
201910068,0.9,0.98,4,264,6,0,0,product_mng,medium,1
201910074,0.09,0.87,7,295,4,0,0,product_mng,low,1
201910081,0.45,0.54,2,140,3,0,0,support,low,1
201910083,0.79,0.59,4,139,3,0,1,management,low,1
201910098,0.1,0.84,6,279,4,0,0,sales,low,1
201910102,0.36,0.52,2,147,3,0,0,sales,medium,1
201910103,0.42,0.46,2,150,3,0,0,sales,medium,1
201910105,0.43,0.52,2,158,3,0,0,sales,medium,1
201910115,0.84,1.0,5,234,5,0,0,technical,medium,1
201910119,0.37,0.57,2,133,3,0,0,technical,low,1
201910126,0.11,0.92,6,260,4,0,0,support,low,1
201910127,0.38,0.49,2,132,3,0,0,support,low,1
201910161,0.1,0.95,7,301,4,0,0,marketing,low,1
201910164,0.79,0.89,5,239,5,0,0,sales,low,1
201910165,0.9,0.99,5,260,5,0,0,sales,low,1
201910178,0.38,0.5,2,140,3,0,0,sales,medium,1
201910191,0.09,0.8,7,283,5,0,0,technical,low,1
201910198,0.1,0.91,6,287,4,0,0,technical,low,1
201910199,0.1,0.89,7,285,4,0,0,technical,low,1
201910203,0.76,1.0,5,219,5,0,0,support,low,1
201910215,0.4,0.53,2,151,3,0,0,IT,low,1
201910219,0.43,0.53,2,131,3,0,0,IT,low,1
201910226,0.9,0.97,4,258,5,0,0,accounting,low,1
201910229,0.85,0.95,5,236,5,0,0,hr,low,1
201910231,0.42,0.47,2,159,3,0,0,marketing,low,1
201910244,0.4,0.5,2,128,3,0,0,sales,low,1
201910250,0.11,0.84,6,298,4,0,0,sales,low,1
201910256,0.44,0.45,2,156,3,0,0,sales,medium,1
201910261,0.46,0.46,2,154,3,0,0,accounting,medium,1
201910280,0.82,0.81,4,233,4,1,0,support,low,1
201910283,0.83,0.92,5,267,6,0,0,support,low,1
201910285,0.38,0.47,2,144,3,0,0,support,low,1
201910287,0.11,0.83,6,306,4,0,0,support,low,1
201910292,0.87,0.84,5,231,5,0,0,IT,low,1
201910306,0.45,0.47,2,135,3,0,0,RandD,medium,1
201910307,0.37,0.46,2,149,3,0,0,marketing,high,1
201910310,0.1,0.94,6,285,4,0,0,support,medium,1
201910314,0.41,0.49,2,130,3,0,0,marketing,low,1
201910326,0.41,0.52,2,135,3,0,0,sales,low,1
201910329,0.1,0.85,6,266,4,0,0,sales,low,1
201910338,0.44,0.51,2,140,3,0,0,hr,medium,1
201910343,0.9,1.0,5,232,5,0,0,technical,medium,1
201910367,0.1,0.83,6,258,4,0,0,management,low,1
201910370,0.1,0.82,6,266,4,0,0,IT,low,1
201910382,0.38,0.46,2,145,3,0,0,hr,medium,1
201910384,0.38,0.51,2,159,3,0,0,sales,medium,1
